edited_name,PrimaryTrentepohliales
Cladonia_secundana,0
Cladonia_signata,0
Cladonia_sinensis,0
Cladonia_singhii,0
Cladonia_solitaria,0
Cladonia_squamosa,0
Cladonia_squamosissima,0
Cladonia_staufferi,0
Cladonia_stellaris,0
Cladonia_stenroosiae,0
Cladonia_steyermarkii,0
Cladonia_stipitata,0
Cladonia_strepsilis,0
Cladonia_stygia,0
Cladonia_subcariosa,0
Cladonia_subcervicornis,0
Cladonia_subchordalis,0
Cladonia_subconistea,0
Cladonia_subfurcata,0
Cladonia_subreticulata,0
Cladonia_subsetacea,0
Cladonia_subsquamosa,0
Cladonia_substellata,0
Cladonia_subsubulata,0
Cladonia_subtenuis,0
Cladonia_subturgida,0
Cladonia_subulata,0
Cladonia_sulcata,0
Cladonia_sulphurina,0
Cladonia_symphycarpa,0
Cladonia_symphycarpia,0
Cladonia_terrae_novae,0
Cladonia_thomsonii,0
Cladonia_trapezuntica,0
Cladonia_turgida,0
Cladonia_ustulata,0
Cladonia_vareschii,0
Cladonia_variegata,0
Cladonia_verticillaris,0
Cladonia_verticillata,0
Cladonia_vulcani,0
Cladonia_vulcanica,0
Cladonia_wainioi,0
Cladonia_weymouthii,0
Cladonia_yunnana,0
Cladonia_zopfii,0
Gymnoderma_coccocarpum,0
Heterodea_beaugleholei,0
Heterodea_muelleri,0
Metus_conglomeratus,0
Pilophorus_acicularis,0
Pilophorus_cereolus,0
Pilophorus_robustus,0
Pilophorus_strumaticus,0
Pycnothelia_papillaria,0
Ramalea_cochleata,0
Ramalinora_glaucolivida,0
Thysanothecium_scutellatum,0
Gypsoplaca_macrophylla,0
Haematomma_accolens,0
Haematomma_erythromma,0
Haematomma_flexuosum,0
Haematomma_ochroleucum,0
Haematomma_stevensiae,0
Haematomma_sulphureum,0
Adelolecia_pilati,0
Arctopeltis_thuleana,0
Bryonora_castanea,0
Carbonea_supersparsa,0
Carbonea_vitellinaria,0
Carbonea_vorticosa,0
Frutidella_caesioatra,0
Japewia_subaurifera,0
Japewia_tornoensis,0
Lecanora_achariana,0
Lecanora_achroa,0
Lecanora_aitema,0
Lecanora_albescens,0
Lecanora_allophana,0
Lecanora_andrewii,0
Lecanora_anopta,0
Lecanora_argentata,0
Lecanora_argopholis,0
Lecanora_austrotropica,0
Lecanora_bicincta,0
Lecanora_bipruinosa,0
Lecanora_burgaziae,0
Lecanora_caesiorubella,0
Lecanora_californica,0
Lecanora_campestris,0
Lecanora_carpinea,0
Lecanora_cateilea,0
Lecanora_cenisia,0
Lecanora_chlarotera,0
Lecanora_chlorophaeodes,0
Lecanora_concolor,0
Lecanora_confusa,0
Lecanora_conizaeoides,0
Lecanora_contractula,0
Lecanora_crenulata,0
Lecanora_densa,0
Lecanora_dispersa,0
Lecanora_dispersoareolata,0
Lecanora_epibryon,0
