edited_name,PrimaryTrebouxiophyceae
Mycoblastus_japonicus,1
Mycoblastus_sanguinarioides,1
Mycoblastus_sanguinarius,1
Tephromela_atra,1
Tephromela_grumosa,1
Tephromela_pertusarioides,1
Violella_fucata,1
Violella_wangii,1
Alectoria_imshaugii,1
Alectoria_ochroleuca,1
Alectoria_sarmentosa,1
Alectoria_vancouverensis,1
Allantoparmelia_alpicola,1
Anzia_colpodes,1
Anzia_colpota,1
Anzia_flavotenuis,1
Anzia_formosana,1
Anzia_hypoleucoides,1
Anzia_mahaeliyensis,1
Anzia_opuntiella,1
Arctoparmelia_centrifuga,1
Asahinea_chrysantha,1
Brodoa_atrofusca,1
Brodoa_intestiniformis,1
Brodoa_oroarctica,1
Bryocaulon_divergens,1
Bryoria_americana,1
Bryoria_bicolor,1
Bryoria_capillaris,1
Bryoria_confusa,1
Bryoria_divergescens,1
Bryoria_fastigiata,1
Bryoria_fremontii,1
Bryoria_furcellata,1
Bryoria_fuscescens,1
Bryoria_glabra,1
Bryoria_hengduanensis,1
Bryoria_implexa,1
Bryoria_indonesica,1
Bryoria_lactinea,1
Bryoria_lanestris,1
Bryoria_nadvornikiana,1
Bryoria_nitidula,1
Bryoria_perspinosa,1
Bryoria_poeltii,1
Bryoria_rigida,1
Bryoria_simplicior,1
Bryoria_smithii,1
Bryoria_subcana,1
Bryoria_tenuis,1
Bryoria_tortuosa,1
Bryoria_trichodes,1
Bryoria_variabilis,1
Cavernularia_hultenii,1
Cavernularia_lophyrea,1
Ahtiana_aurescens,1
Ahtiana_pallidula,1
Ahtiana_sphaerosporella,1
Allocetraria_ambigua,1
Allocetraria_flavonigrescens,1
Allocetraria_globulans,1
Allocetraria_madreporiformis,1
Allocetraria_sinensis,1
Allocetraria_stracheyi,1
Arctocetraria_andrejevii,1
Arctocetraria_nigricascens,1
Cetraria_aculeata,1
Cetraria_annae,1
Cetraria_arenaria,1
Cetraria_australiensis,1
Cetraria_crespoae,1
Cetraria_ericetorum,1
Cetraria_islandica,1
Cetraria_kamtczatica,1
Cetraria_laevigata,1
Cetraria_muricata,1
Cetraria_nigricans,1
Cetraria_obtusata,1
Cetraria_odontella,1
Cetraria_sepincola,1
Cetrariella_commixta,1
Cetrariella_delisei,1
Cetrariella_fastigiata,1
Cetreliopsis_asahinae,1
Cetreliopsis_laeteflava,1
Cetreliopsis_rhytidocarpa,1
Dactylina_arctica,1
Esslingeriana_idahoensis,1
Flavocetraria_cucullata,1
Flavocetraria_minuscula,1
Flavocetraria_nivalis,1
Kaernefeltia_californica,1
Kaernefeltia_merrillii,1
Masonhalea_inermis,1
Masonhalea_richardsonii,1
Melanelia_hepatizon,1
Melanelia_sorediella,1
Melanelia_stygia,1
Nephromopsis_ahtii,1
Nephromopsis_komarovii,1
Nephromopsis_laureri,1
Nephromopsis_leucostigma,1
Nephromopsis_melaloma,1
Nephromopsis_morrisonicola,1
Nephromopsis_nephromoides,1
Nephromopsis_ornata,1
Nephromopsis_pallescens,1
Nephromopsis_pseudocomplicata,1
Nephromopsis_stracheyi,1
Tuckermanella_coralligera,1
Tuckermanella_fendleri,1
Tuckermanella_weberi,1
Tuckermannopsis_americana,1
Tuckermannopsis_chlorophylla,1
Tuckermannopsis_ciliaris,1
Tuckermannopsis_orbata,1
Tuckermannopsis_platyphylla,1
Tuckermannopsis_subalpina,1
Usnocetraria_oakesiana,1
Vulpicida_canadensis,1
Vulpicida_juniperinus,1
Vulpicida_pinastri,1
Vulpicida_tilesii,1
Vulpicida_tubulosus,1
Vulpicida_viridis,1
Coelopogon_abraxas,1
Coelopogon_epiphorellus,1
Cornicularia_normoerica,1
Evernia_divaricata,1
Evernia_esorediosa,1
Evernia_mesomorpha,1
Evernia_prunastri,1
Everniopsis_trulla,1
Gowardia_arctica,1
Gowardia_nigricans,1
Himantormia_deusta,1
Himantormia_lugubris,1
Hypogymnia_antarctica,1
Hypogymnia_apinnata,1
Hypogymnia_austerodes,1
Hypogymnia_duplicata,1
Hypogymnia_enteromorpha,1
Hypogymnia_farinacea,1
Hypogymnia_flavida,1
Hypogymnia_fujisanensis,1
Hypogymnia_gracilis,1
Hypogymnia_hypotrypa,1
Hypogymnia_imshaugii,1
Hypogymnia_inactiva,1
Hypogymnia_incurvoides,1
Hypogymnia_krogiae,1
Hypogymnia_lugubris,1
Hypogymnia_macrospora,1
Hypogymnia_metaphysodes,1
Hypogymnia_minilobata,1
Hypogymnia_mollis,1
Hypogymnia_occidentalis,1
Hypogymnia_physodes,1
Hypogymnia_pruinosa,1
Hypogymnia_pulverata,1
Hypogymnia_subduplicata,1
Hypogymnia_subphysodes,1
Hypogymnia_tubulosa,1
Hypogymnia_vittata,1
Imshaugia_aleurites,1
Letharia_columbiana,1
Letharia_vulpina,1
Lethariella_canariensis,1
Lethariella_cashmeriana,1
Lethariella_sernanderi,1
Lethariella_togashii,1
Menegazzia_confusa,1
Menegazzia_myriotrema,1
Menegazzia_subsimilis,1
Menegazzia_terebrata,1
Nodobryoria_abbreviata,1
Nodobryoria_oregana,1
Omphalodium_pisacomense,1
Omphalora_arizonica,1
Oropogon_americanus,1
Oropogon_atranorinus,1
Oropogon_bicolor,1
Oropogon_caespitosus,1
Oropogon_colibor,1
Oropogon_granulosus,1
Oropogon_lopezii,1
Oropogon_lorobic,1
Oropogon_loxensis,1
Oropogon_mexicanus,1
Oropogon_sperlingii,1
Pannoparmelia_angustata,1
Almbornia_azaniensis,1
Almbornia_cafferensis,1
Austroparmelina_conlabrosa,1
Austroparmelina_endoleuca,1
Austroparmelina_labrosa,1
Austroparmelina_macrospora,1
Austroparmelina_pruinata,1
Austroparmelina_pseudorelicina,1
Bulbothrix_apophysata,1
Bulbothrix_coronata,1
Bulbothrix_decurtata,1
Bulbothrix_goebelii,1
Bulbothrix_hypocraea,1
Bulbothrix_isidiza,1
Bulbothrix_laevigatula,1
Bulbothrix_meizospora,1
Bulbothrix_sensibilis,1
Bulbothrix_setschwanensis,1
Bulbothrix_suffixa,1
Bulbothrix_tabacina,1
Canoparmelia_carneopruinata,1
Canoparmelia_caroliniana,1
Canoparmelia_concrescens,1
Canoparmelia_crozalsiana,1
Canoparmelia_ecaperata,1
Canoparmelia_inhaminensis,1
Canoparmelia_nairobiensis,1
Canoparmelia_schelpei,1
Canoparmelia_texana,1
Cetrariastrum_andense,1
Cetrariastrum_dubitans,1
Cetrariastrum_ecuadoriense,1
Cetrelia_braunsiana,1
Cetrelia_cetrarioides,1
Cetrelia_chicitae,1
Cetrelia_japonica,1
Cetrelia_olivetorum,1
Cetrelia_pseudolivetorum,1
Emodomelanelia_masonii,1
Everniastrum_americanum,1
Everniastrum_catawbiense,1
Everniastrum_cirrhatum,1
Everniastrum_lipidiferum,1
Everniastrum_nepalense,1
Everniastrum_rhizodendroideum,1
Everniastrum_sorocheilum,1
Everniastrum_vexans,1
Flavoparmelia_baltimorensis,1
Flavoparmelia_caperata,1
Flavoparmelia_citrinescens,1
Flavoparmelia_euplecta,1
Flavoparmelia_ferax,1
Flavoparmelia_haysomii,1
Flavoparmelia_haywardiana,1
Flavoparmelia_marchantii,1
Flavoparmelia_papillosa,1
Flavoparmelia_rutidota,1
Flavoparmelia_secalonica,1
Flavoparmelia_soredians,1
Flavoparmelia_springtonensis,1
Flavoparmelia_subambigua,1
Flavopunctelia_borrerioides,1
Flavopunctelia_flaventior,1
Flavopunctelia_soredica,1
Hypotrachyna_adducta,1
Hypotrachyna_afrorevoluta,1
Hypotrachyna_booralensis,1
Hypotrachyna_brasiliana,1
Hypotrachyna_britannica,1
Hypotrachyna_caraccensis,1
Hypotrachyna_ciliata,1
Hypotrachyna_dactylifera,1
Hypotrachyna_degelii,1
Hypotrachyna_endochlora,1
Hypotrachyna_exsecta,1
Hypotrachyna_fissicarpa,1
Hypotrachyna_flexilis,1
Hypotrachyna_imbricatula,1
Hypotrachyna_immaculata,1
Hypotrachyna_koyaensis,1
Hypotrachyna_laevigata,1
Hypotrachyna_leiophylla,1
Hypotrachyna_livida,1
Hypotrachyna_neodissecta,1
Hypotrachyna_osseoalba,1
Hypotrachyna_physcioides,1
Hypotrachyna_polydactyla,1
Hypotrachyna_pseudosinuosa,1
Hypotrachyna_radiculata,1
Hypotrachyna_reducens,1
Hypotrachyna_revoluta,1
Hypotrachyna_rockii,1
Hypotrachyna_showmanii,1
Hypotrachyna_sinuosa,1
Hypotrachyna_taylorensis,1
Karoowia_adhaerens,1
Karoowia_perspersa,1
Karoowia_ralla,1
Karoowia_scitula,1
Melanelixia_albertana,1
Melanelixia_californica,1
Melanelixia_calva,1
Melanelixia_fuliginosa,1
Melanelixia_glabra,1
Melanelixia_glabratuloides,1
Melanelixia_glabroides,1
Melanelixia_piliferella,1
Melanelixia_subargentifera,1
Melanelixia_subaurifera,1
Melanelixia_subglabra,1
Melanelixia_villosella,1
Melanohalea_elegantula,1
Melanohalea_exasperata,1
Melanohalea_exasperatula,1
