Tip_label f
Lecanora_intumescens 0.05
Lecanora_laxa 0.05
Lecanora_leproplaca 0.05
Lecanora_leprosa 0.05
Lecanora_leptyrodes 0.05
Lecanora_lividocinerea 0.05
Lecanora_lojkaeana 0.05
Lecanora_macrocyclos 0.05
Lecanora_muralis 0.05
Lecanora_nashii 0.05
Lecanora_nothocaesiella 0.05
Lecanora_novomexicana 0.05
Lecanora_opiniconensis 0.05
Lecanora_orosthea 0.05
Lecanora_pacifica 0.05
Lecanora_paramerae 0.05
Lecanora_perpruinosa 0.05
Lecanora_phaedrophthalma 0.05
Lecanora_phaeocardia 0.05
Lecanora_phryganitis 0.05
Lecanora_plumosa 0.05
Lecanora_polytropa 0.05
Lecanora_populicola 0.05
Lecanora_pringlei 0.05
Lecanora_pruinosa 0.05
Lecanora_pulicaris 0.05
Lecanora_queenslandica 0.05
Lecanora_reuteri 0.05
Lecanora_rugosella 0.05
Lecanora_rupicola 0.05
Lecanora_saligna 0.05
Lecanora_schizochromatica 0.05
Lecanora_semipallida 0.05
Lecanora_sorediomarginata 0.05
Lecanora_straminea 0.05
Lecanora_subcarnea 0.05
Lecanora_subcarpinea 0.05
Lecanora_subimmergens 0.05
Lecanora_subimmersa 0.05
Lecanora_subintricata 0.05
Lecanora_subrugosa 0.05
Lecanora_sulphurea 0.05
Lecanora_swartzii 0.05
Lecanora_symmicta 0.05
Lecanora_thysanophora 0.05
Lecanora_toroyensis 0.05
Lecanora_tropica 0.05
Lecanora_ulrikii 0.05
Lecanora_vainioi 0.05
Lecanora_valesiaca 0.05
Lecanora_varia 0.05
Lecanora_wilsonii 0.05
Lecidea_hercynica 0.05
Lecidea_leprarioides 0.05
Lecidea_polytrichina 0.05
Lecidea_pullata 0.05
Lecidea_turgidula 0.05
Lecidella_carpathica 0.05
Lecidella_elaeochroma 0.05
Lecidella_euphorea 0.05
Lecidella_flavosorediata 0.05
Lecidella_greenii 0.05
Lecidella_meiococca 0.05
Lecidella_patavina 0.05
Lecidella_siplei 0.05
Lecidella_stigmatea 0.05
Lecidella_wulfenii 0.05
Lepraria_flavescens 0.05
Rhizoplaca_aspidophora 0.05
Rhizoplaca_bullata 0.05
Rhizoplaca_chrysoleuca 0.05
Rhizoplaca_haydenii 0.05
Rhizoplaca_huashanensis 0.05
Rhizoplaca_idahoensis 0.05
Rhizoplaca_macleanii 0.05
Rhizoplaca_melanophthalma 0.05
Rhizoplaca_occulta 0.05
Rhizoplaca_parilis 0.05
Rhizoplaca_peltata 0.05
Rhizoplaca_polymorpha 0.05
Rhizoplaca_porterii 0.05
Rhizoplaca_shushanii 0.05
Rhizoplaca_subdiscrepans 0.05
Lecidea_hypopta 0.1
Lecidea_nylanderi 0.25
Lecidea_roseotincta 0.25
Lecidea_rubrocastanea 0.25
Lecidea_cyrtidia 0.1
Lecidea_floridensis 0.1
Malmidea_aurigera 0.1
Malmidea_bakeri 0.1
Malmidea_chrysostigma 0.1
Malmidea_coralliformis 0.1
Malmidea_eeuuae 0.1
Malmidea_inflata 0.1
Malmidea_perplexa 0.1
Malmidea_piperis 0.1
Malmidea_rhodopsis 0.1
Malmidea_subaurigera 0.1
Malmidea_variabilis 0.1
Savoronala_madagascariensis 0.1
Miriquidica_complanata 0.06
Miriquidica_garovaglii 0.06
Miriquidica_instrata 0.06
Miriquidica_leucophaea 0.06
Calvitimela_armeniaca 0.1
Calvitimela_melaleuca 0.1
Lecidea_aglaea 0.1
Mycoblastus_affinis 0.1
Mycoblastus_alpinus 0.1
Mycoblastus_fucatus 0.1
Mycoblastus_glabrescens 0.1
Mycoblastus_japonicus 0.1
Mycoblastus_sanguinarioides 0.1
Mycoblastus_sanguinarius 0.1
Tephromela_atra 0.1
Tephromela_grumosa 0.1
Tephromela_pertusarioides 0.1
Violella_fucata 0.1
Violella_wangii 0.1
Alectoria_imshaugii 0.18
Alectoria_ochroleuca 0.18
Alectoria_sarmentosa 0.18
Alectoria_vancouverensis 0.18
Allantoparmelia_alpicola 0.18
Anzia_colpodes 0.18
Anzia_colpota 0.18
Anzia_flavotenuis 0.18
Anzia_formosana 0.18
Anzia_hypoleucoides 0.18
Anzia_mahaeliyensis 0.18
Anzia_opuntiella 0.18
Arctoparmelia_centrifuga 0.18
Asahinea_chrysantha 0.18
Brodoa_atrofusca 0.18
Brodoa_intestiniformis 0.18
Brodoa_oroarctica 0.18
Bryocaulon_divergens 0.18
Bryoria_americana 0.18
Bryoria_bicolor 0.18
Bryoria_capillaris 0.18
Bryoria_confusa 0.18
Bryoria_divergescens 0.18
Bryoria_fastigiata 0.18
Bryoria_fremontii 0.18
Bryoria_furcellata 0.18
Bryoria_fuscescens 0.18
Bryoria_glabra 0.18
Bryoria_hengduanensis 0.18
Bryoria_implexa 0.18
Bryoria_indonesica 0.18
Bryoria_lactinea 0.18
Bryoria_lanestris 0.18
Bryoria_nadvornikiana 0.18
Bryoria_nitidula 0.18
Bryoria_perspinosa 0.18
Bryoria_poeltii 0.18
Bryoria_rigida 0.18
Bryoria_simplicior 0.18
Bryoria_smithii 0.18
Bryoria_subcana 0.18
Bryoria_tenuis 0.18
Bryoria_tortuosa 0.18
Bryoria_trichodes 0.18
Bryoria_variabilis 0.18
