Tip_label f
Thysanothecium_scutellatum 0.19
Gypsoplaca_macrophylla 0.5
Haematomma_accolens 0.1
Haematomma_erythromma 0.1
Haematomma_flexuosum 0.1
Haematomma_ochroleucum 0.1
Haematomma_stevensiae 0.1
Haematomma_sulphureum 0.1
Adelolecia_pilati 0.1
Arctopeltis_thuleana 0.1
Bryonora_castanea 0.1
Carbonea_supersparsa 0.1
Carbonea_vitellinaria 0.1
Carbonea_vorticosa 0.1
Frutidella_caesioatra 0.1
Japewia_subaurifera 0.1
Japewia_tornoensis 0.1
Lecanora_achariana 0.1
Lecanora_achroa 0.1
Lecanora_aitema 0.1
Lecanora_albescens 0.1
Lecanora_allophana 0.1
Lecanora_andrewii 0.1
Lecanora_anopta 0.1
Lecanora_argentata 0.1
Lecanora_argopholis 0.1
Lecanora_austrotropica 0.1
Lecanora_bicincta 0.1
Lecanora_bipruinosa 0.1
Lecanora_burgaziae 0.1
Lecanora_caesiorubella 0.1
Lecanora_californica 0.1
Lecanora_campestris 0.1
Lecanora_carpinea 0.1
Lecanora_cateilea 0.1
Lecanora_cenisia 0.1
Lecanora_chlarotera 0.1
Lecanora_chlorophaeodes 0.1
Lecanora_concolor 0.1
Lecanora_confusa 0.1
Lecanora_conizaeoides 0.1
Lecanora_contractula 0.1
Lecanora_crenulata 0.1
Lecanora_densa 0.1
Lecanora_dispersa 0.1
Lecanora_dispersoareolata 0.1
Lecanora_epibryon 0.1
Lecanora_expallens 0.1
Lecanora_farinacea 0.1
Lecanora_filamentosa 0.1
Lecanora_flavoleprosa 0.1
Lecanora_flavopallida 0.1
Lecanora_flotowiana 0.1
Lecanora_fuscescens 0.1
Lecanora_fuscobrunnea 0.1
Lecanora_gangaleoides 0.1
Lecanora_garovaglii 0.1
Lecanora_glabrata 0.1
Lecanora_hagenii 0.1
Lecanora_helva 0.1
Lecanora_horiza 0.1
Lecanora_hybocarpa 0.1
Lecanora_hyperboreorum 0.1
Lecanora_imshaugii 0.1
Lecanora_intricata 0.1
Lecanora_intumescens 0.1
Lecanora_laxa 0.1
Lecanora_leproplaca 0.1
Lecanora_leprosa 0.1
Lecanora_leptyrodes 0.1
Lecanora_lividocinerea 0.1
Lecanora_lojkaeana 0.1
Lecanora_macrocyclos 0.1
Lecanora_muralis 0.1
Lecanora_nashii 0.1
Lecanora_nothocaesiella 0.1
Lecanora_novomexicana 0.1
Lecanora_opiniconensis 0.1
Lecanora_orosthea 0.1
Lecanora_pacifica 0.1
Lecanora_paramerae 0.1
Lecanora_perpruinosa 0.1
Lecanora_phaedrophthalma 0.1
Lecanora_phaeocardia 0.1
Lecanora_phryganitis 0.1
Lecanora_plumosa 0.1
Lecanora_polytropa 0.1
Lecanora_populicola 0.1
Lecanora_pringlei 0.1
Lecanora_pruinosa 0.1
Lecanora_pulicaris 0.1
Lecanora_queenslandica 0.1
Lecanora_reuteri 0.1
Lecanora_rugosella 0.1
Lecanora_rupicola 0.1
Lecanora_saligna 0.1
Lecanora_schizochromatica 0.1
Lecanora_semipallida 0.1
Lecanora_sorediomarginata 0.1
Lecanora_straminea 0.1
Lecanora_subcarnea 0.1
Lecanora_subcarpinea 0.1
Lecanora_subimmergens 0.1
Lecanora_subimmersa 0.1
Lecanora_subintricata 0.1
Lecanora_subrugosa 0.1
Lecanora_sulphurea 0.1
Lecanora_swartzii 0.1
Lecanora_symmicta 0.1
Lecanora_thysanophora 0.1
Lecanora_toroyensis 0.1
Lecanora_tropica 0.1
Lecanora_ulrikii 0.1
Lecanora_vainioi 0.1
Lecanora_valesiaca 0.1
Lecanora_varia 0.1
Lecanora_wilsonii 0.1
Lecidea_hercynica 0.1
Lecidea_leprarioides 0.1
Lecidea_polytrichina 0.1
Lecidea_pullata 0.1
Lecidea_turgidula 0.1
Lecidella_carpathica 0.1
Lecidella_elaeochroma 0.1
Lecidella_euphorea 0.1
Lecidella_flavosorediata 0.1
Lecidella_greenii 0.1
Lecidella_meiococca 0.1
Lecidella_patavina 0.1
Lecidella_siplei 0.1
Lecidella_stigmatea 0.1
Lecidella_wulfenii 0.1
Lepraria_flavescens 0.1
Rhizoplaca_aspidophora 0.1
Rhizoplaca_bullata 0.1
Rhizoplaca_chrysoleuca 0.1
Rhizoplaca_haydenii 0.1
Rhizoplaca_huashanensis 0.1
Rhizoplaca_idahoensis 0.1
Rhizoplaca_macleanii 0.1
Rhizoplaca_melanophthalma 0.1
Rhizoplaca_occulta 0.1
Rhizoplaca_parilis 0.1
Rhizoplaca_peltata 0.1
Rhizoplaca_polymorpha 0.1
Rhizoplaca_porterii 0.1
Rhizoplaca_shushanii 0.1
Rhizoplaca_subdiscrepans 0.1
Lecidea_hypopta 0.2
Lecidea_nylanderi 0.5
Lecidea_roseotincta 0.5
Lecidea_rubrocastanea 0.5
Lecidea_cyrtidia 0.2
Lecidea_floridensis 0.2
Malmidea_aurigera 0.2
Malmidea_bakeri 0.2
Malmidea_chrysostigma 0.2
Malmidea_coralliformis 0.2
Malmidea_eeuuae 0.2
Malmidea_inflata 0.2
