Tip_label f
Cladonia_botrytes 0.04
Cladonia_caespiticia 0.04
Cladonia_callosa 0.04
Cladonia_calyciformis 0.04
Cladonia_capitellata 0.04
Cladonia_cariosa 0.04
Cladonia_carneola 0.04
Cladonia_caroliniana 0.04
Cladonia_cartilaginea 0.04
Cladonia_cenotea 0.04
Cladonia_ceratophylla 0.04
Cladonia_cervicornis 0.04
Cladonia_chlorophaea 0.04
Cladonia_clathrata 0.04
Cladonia_coccifera 0.04
Cladonia_confusa 0.04
Cladonia_coniocraea 0.04
Cladonia_conista 0.04
Cladonia_consimilis 0.04
Cladonia_convoluta 0.04
Cladonia_corallifera 0.04
Cladonia_corniculata 0.04
Cladonia_cornuta 0.04
Cladonia_corsicana 0.04
Cladonia_corymbescens 0.04
Cladonia_crinita 0.04
Cladonia_crispata 0.04
Cladonia_crispatula 0.04
Cladonia_cristatella 0.04
Cladonia_cyathomorpha 0.04
Cladonia_cylindrica 0.04
Cladonia_deformis 0.04
Cladonia_delavayi 0.04
Cladonia_dendroides 0.04
Cladonia_densissima 0.04
Cladonia_didyma 0.04
Cladonia_digitata 0.04
Cladonia_dimorphoclada 0.04
Cladonia_divaricata 0.04
Cladonia_diversa 0.04
Cladonia_ecmocyna 0.04
Cladonia_elixii 0.04
Cladonia_evansii 0.04
Cladonia_farinacea 0.04
Cladonia_fimbriata 0.04
Cladonia_firma 0.04
Cladonia_fissidens 0.04
Cladonia_fleigiae 0.04
Cladonia_floerkeana 0.04
Cladonia_foliacea 0.04
Cladonia_fruticulosa 0.04
Cladonia_furcata 0.04
Cladonia_furfuraceoides 0.04
Cladonia_glauca 0.04
Cladonia_gracilis 0.04
Cladonia_grayi 0.04
Cladonia_hedbergii 0.04
Cladonia_hians 0.04
Cladonia_homchantarae 0.04
Cladonia_humilis 0.04
Cladonia_hypomelaena 0.04
Cladonia_incrassata 0.04
Cladonia_innominata 0.04
Cladonia_kurokawae 0.04
Cladonia_laii 0.04
Cladonia_latiloba 0.04
Cladonia_lepidophora 0.04
Cladonia_leporina 0.04
Cladonia_lopezii 0.04
Cladonia_luteoalba 0.04
Cladonia_macilenta 0.04
Cladonia_macilentoides 0.04
Cladonia_macroceras 0.04
Cladonia_macrophylla 0.04
Cladonia_macrophyllodes 0.04
Cladonia_magyarica 0.04
Cladonia_marionii 0.04
Cladonia_mauritiana 0.04
Cladonia_maxima 0.04
Cladonia_merochlorophaea 0.04
Cladonia_metacorallifera 0.04
Cladonia_metaminiata 0.04
Cladonia_minarum 0.04
Cladonia_miniata 0.04
Cladonia_mitis 0.04
Cladonia_multiformis 0.04
Cladonia_nana 0.04
Cladonia_nashii 0.04
Cladonia_neozelandica 0.04
Cladonia_nipponica 0.04
Cladonia_novochlorophaea 0.04
Cladonia_ochrochlora 0.04
Cladonia_pachycladodes 0.04
Cladonia_parvipes 0.04
Cladonia_peltastica 0.04
Cladonia_perforata 0.04
Cladonia_pertricosa 0.04
Cladonia_petrophila 0.04
Cladonia_peziziformis 0.04
Cladonia_phyllophora 0.04
Cladonia_piedadensis 0.04
Cladonia_pityrophylla 0.04
Cladonia_pleurota 0.04
Cladonia_pocillum 0.04
Cladonia_polydactyla 0.04
Cladonia_polyscypha 0.04
Cladonia_polystomata 0.04
Cladonia_portentosa 0.04
Cladonia_prancei 0.04
Cladonia_prostrata 0.04
Cladonia_pulvinata 0.04
Cladonia_pulvinella 0.04
Cladonia_pycnoclada 0.04
Cladonia_pyxidata 0.04
Cladonia_rangiferina 0.04
Cladonia_rangiformis 0.04
Cladonia_rappii 0.04
Cladonia_ravenelii 0.04
Cladonia_recticaulis 0.04
Cladonia_rei 0.04
Cladonia_rigida 0.04
Cladonia_robbinsii 0.04
Cladonia_rotundata 0.04
Cladonia_rudis 0.04
Cladonia_rugulosa 0.04
Cladonia_salmonea 0.04
Cladonia_scabriuscula 0.04
Cladonia_secundana 0.04
Cladonia_signata 0.04
Cladonia_sinensis 0.04
Cladonia_singhii 0.04
Cladonia_solitaria 0.04
Cladonia_squamosa 0.04
Cladonia_squamosissima 0.04
Cladonia_staufferi 0.04
Cladonia_stellaris 0.04
Cladonia_stenroosiae 0.04
Cladonia_steyermarkii 0.04
Cladonia_stipitata 0.04
Cladonia_strepsilis 0.04
Cladonia_stygia 0.04
Cladonia_subcariosa 0.04
Cladonia_subcervicornis 0.04
Cladonia_subchordalis 0.04
Cladonia_subconistea 0.04
Cladonia_subfurcata 0.04
Cladonia_subreticulata 0.04
Cladonia_subsetacea 0.04
Cladonia_subsquamosa 0.04
Cladonia_substellata 0.04
Cladonia_subsubulata 0.04
Cladonia_subtenuis 0.04
Cladonia_subturgida 0.04
Cladonia_subulata 0.04
Cladonia_sulcata 0.04
Cladonia_sulphurina 0.04
Cladonia_symphycarpa 0.04
Cladonia_symphycarpia 0.04
Cladonia_terrae_novae 0.04
Cladonia_thomsonii 0.04
Cladonia_trapezuntica 0.04
Cladonia_turgida 0.04
Cladonia_ustulata 0.04
Cladonia_vareschii 0.04
Cladonia_variegata 0.04
Cladonia_verticillaris 0.04
Cladonia_verticillata 0.04
Cladonia_vulcani 0.04
Cladonia_vulcanica 0.04
Cladonia_wainioi 0.04
Cladonia_weymouthii 0.04
Cladonia_yunnana 0.04
