Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
2725	0.328440	413	0.075061	980	0.021429	882	0.019274	0.647324	2725	0.328440	0.192800	0.209680	
2232	0.314516	367	0.038147	1286	0.024106	1115	0.013453	0.647324	2232	0.314516	0.152400	0.209666	
3085	0.336467	505	0.021782	714	0.032213	696	0.027299	0.647324	3085	0.336467	0.218200	0.209668	
3172	0.323770	504	0.041667	618	0.009709	706	0.016997	0.647324	3172	0.323770	0.213200	0.209669	
2831	0.334158	497	0.044266	956	0.026151	716	0.012570	0.647324	2831	0.334158	0.200400	0.209666	
2836	0.328279	526	0.062738	876	0.015982	762	0.027559	0.647324	2836	0.328279	0.199800	0.209664	
3176	0.330605	512	0.064453	652	0.026074	660	0.027273	0.647324	3176	0.330605	0.223600	0.209667	
3124	0.344430	555	0.034234	666	0.006006	655	0.018321	0.647324	3124	0.344430	0.222200	0.209670	
2911	0.326005	429	0.067599	836	0.028708	824	0.019417	0.647324	2911	0.326005	0.203600	0.209669	
2985	0.343719	492	0.044715	779	0.032092	744	0.020161	0.647324	2985	0.343719	0.217600	0.209671	
2970	0.333333	478	0.048117	803	0.009963	749	0.029372	0.647324	2970	0.333333	0.208600	0.209671	
3157	0.335128	519	0.048170	672	0.019345	652	0.030675	0.647324	3157	0.335128	0.223200	0.209674	
2473	0.342903	446	0.040359	1122	0.015152	959	0.029197	0.647324	2473	0.342903	0.182200	0.209667	
3222	0.334575	524	0.022901	610	0.018033	644	0.032609	0.647324	3222	0.334575	0.224400	0.209671	
3081	0.335605	561	0.039216	650	0.013846	708	0.021186	0.647324	3081	0.335605	0.216000	0.209672	
3201	0.330209	517	0.046422	668	0.026946	614	0.027687	0.647324	3201	0.330209	0.223200	0.209676	
3094	0.339043	443	0.042889	724	0.041436	739	0.029770	0.647324	3094	0.339043	0.224000	0.209679	
3033	0.318826	432	0.062500	789	0.016477	746	0.018767	0.647324	3033	0.318826	0.204200	0.209678	
3123	0.324368	540	0.024074	669	0.011958	668	0.026946	0.647324	3123	0.324368	0.210400	0.209678	
3125	0.323840	560	0.042857	680	0.045588	635	0.029921	0.647324	3125	0.323840	0.217200	0.209680	
2758	0.348441	502	0.047809	887	0.023675	853	0.023447	0.647324	2758	0.348441	0.205200	0.209679	
3078	0.323912	529	0.052930	724	0.020718	669	0.022422	0.647324	3078	0.323912	0.211000	0.209679	
3183	0.338360	523	0.043977	655	0.010687	639	0.026604	0.647324	3183	0.338360	0.224800	0.209683	
3186	0.334275	529	0.024575	681	0.014684	604	0.016556	0.647324	3186	0.334275	0.219600	0.209685	
2816	0.322088	435	0.078161	899	0.012236	850	0.032941	0.647324	2816	0.322088	0.196000	0.209682	
3094	0.345507	482	0.066390	714	0.023810	710	0.025352	0.647324	3094	0.345507	0.227200	0.209686	
2987	0.330767	574	0.045296	717	0.012552	722	0.048476	0.647324	2987	0.330767	0.211600	0.209686	
3047	0.331802	506	0.059289	708	0.008475	739	0.021651	0.647324	3047	0.331802	0.212600	0.209687	
2897	0.328271	524	0.045802	864	0.016204	715	0.032168	0.647324	2897	0.328271	0.202400	0.209685	
2879	0.341091	499	0.040080	853	0.010551	769	0.022107	0.647324	2879	0.341091	0.205600	0.209684	
2778	0.309935	568	0.045775	879	0.013652	775	0.028387	0.647324	2778	0.309935	0.184200	0.209678	
3055	0.334534	529	0.045369	703	0.028450	713	0.021038	0.647324	3055	0.334534	0.216200	0.209680	
3172	0.304855	538	0.018587	673	0.046062	617	0.034036	0.647324	3172	0.304855	0.205800	0.209679	
2555	0.336986	455	0.041758	1057	0.014191	933	0.028939	0.647324	2555	0.336986	0.184400	0.209673	
2633	0.317509	443	0.051919	1003	0.030907	921	0.027144	0.647324	2633	0.317509	0.183000	0.209666	
2547	0.331763	448	0.042411	1099	0.027298	906	0.020971	0.647324	2547	0.331763	0.182600	0.209660	
3047	0.323597	504	0.041667	747	0.028112	702	0.022792	0.647324	3047	0.323597	0.208800	0.209659	
2717	0.326463	471	0.038217	927	0.010787	885	0.032768	0.647324	2717	0.326463	0.188800	0.209654	
3118	0.324567	503	0.037773	669	0.023916	710	0.019718	0.647324	3118	0.324567	0.212200	0.209655	
3220	0.339752	512	0.027344	665	0.027068	603	0.029851	0.647324	3220	0.339752	0.228800	0.209660	
3235	0.334467	494	0.058704	649	0.010786	622	0.019293	0.647324	3235	0.334467	0.226000	0.209664	
3201	0.339269	506	0.041502	658	0.024316	635	0.015748	0.647324	3201	0.339269	0.226600	0.209668	
3128	0.342391	555	0.030631	679	0.007364	638	0.032915	0.647324	3128	0.342391	0.222800	0.209671	
3083	0.350957	542	0.040590	711	0.004219	664	0.037651	0.647324	3083	0.350957	0.226400	0.209675	
3120	0.326282	513	0.054581	702	0.019943	665	0.028571	0.647324	3120	0.326282	0.215800	0.209676	
2941	0.339680	551	0.056261	770	0.018182	738	0.027100	0.647324	2941	0.339680	0.212800	0.209677	
3169	0.327233	525	0.041905	640	0.021875	666	0.021021	0.647324	3169	0.327233	0.217400	0.209679	
3140	0.327389	557	0.025135	621	0.046699	682	0.027859	0.647324	3140	0.327389	0.218000	0.209681	
3165	0.331438	521	0.030710	642	0.015576	672	0.010417	0.647324	3165	0.331438	0.216400	0.209683	
3103	0.328070	534	0.041199	723	0.030429	640	0.026562	0.647324	3103	0.328070	0.215800	0.209684	
2969	0.321657	544	0.042279	764	0.011780	723	0.012448	0.647324	2969	0.321657	0.199200	0.209682	
3165	0.331438	548	0.043796	653	0.026034	634	0.036278	0.647324	3165	0.331438	0.222600	0.209685	
3116	0.345315	546	0.051282	712	0.026685	626	0.025559	0.647324	3116	0.345315	0.227800	0.209689	
2683	0.326873	455	0.048352	1019	0.015702	843	0.011862	0.647324	2683	0.326873	0.185000	0.209683	
3112	0.330977	500	0.038000	730	0.021918	658	0.025836	0.647324	3112	0.330977	0.216400	0.209685	
2879	0.323376	456	0.032895	862	0.032483	803	0.023661	0.647324	2879	0.323376	0.198600	0.209682	
2701	0.330618	517	0.029014	921	0.034745	861	0.027875	0.647324	2701	0.330618	0.192800	0.209678	
3125	0.344960	471	0.044586	715	0.015385	689	0.020319	0.647324	3125	0.344960	0.224800	0.209682	
3101	0.356982	470	0.051064	708	0.026836	721	0.037448	0.647324	3101	0.356982	0.235400	0.209688	
2707	0.347987	436	0.036697	982	0.015275	875	0.024000	0.647324	2707	0.347987	0.198800	0.209685	
2937	0.323119	492	0.028455	813	0.020910	758	0.026385	0.647324	2937	0.323119	0.200000	0.209683	
3029	0.324860	531	0.060264	738	0.016260	702	0.029915	0.647324	3029	0.324860	0.209800	0.209683	
2766	0.315257	443	0.040632	914	0.035011	877	0.029647	0.647324	2766	0.315257	0.189600	0.209678	
3166	0.341440	519	0.036609	669	0.013453	646	0.018576	0.647324	3166	0.341440	0.224200	0.209682	
2903	0.319325	534	0.035581	798	0.022556	765	0.023529	0.647324	2903	0.319325	0.196400	0.209678	
2940	0.327891	457	0.056893	799	0.012516	804	0.018657	0.647324	2940	0.327891	0.203000	0.209677	
3057	0.333333	542	0.031365	693	0.015873	708	0.026836	0.647324	3057	0.333333	0.213200	0.209678	
3179	0.320226	516	0.048450	659	0.019727	646	0.035604	0.647324	3179	0.320226	0.215800	0.209679	
3061	0.318197	553	0.048825	698	0.005731	688	0.008721	0.647324	3061	0.318197	0.202200	0.209677	
3080	0.327922	565	0.035398	714	0.011204	641	0.026521	0.647324	3080	0.327922	0.211000	0.209678	
3226	0.316181	561	0.040998	631	0.022187	582	0.024055	0.647324	3226	0.316181	0.214200	0.209679	
3215	0.353966	546	0.036630	620	0.043548	619	0.011309	0.647324	3215	0.353966	0.238400	0.209686	
3103	0.324525	598	0.051839	652	0.019939	647	0.010819	0.647324	3103	0.324525	0.211600	0.209686	
3053	0.320341	493	0.054767	764	0.043194	690	0.020290	0.647324	3053	0.320341	0.210400	0.209686	
3255	0.338249	484	0.041322	652	0.004601	609	0.024631	0.647324	3255	0.338249	0.227800	0.209691	
2848	0.342346	495	0.042424	916	0.025109	741	0.032389	0.647324	2848	0.342346	0.208600	0.209690	
2790	0.335484	461	0.052061	1002	0.036926	747	0.034806	0.647324	2790	0.335484	0.204600	0.209689	
3076	0.325748	465	0.066667	772	0.027202	687	0.020378	0.647324	3076	0.325748	0.213600	0.209690	
3208	0.341334	515	0.034951	657	0.016743	620	0.017742	0.647324	3208	0.341334	0.227000	0.209694	
3072	0.322917	556	0.034173	666	0.031532	706	0.025496	0.647324	3072	0.322917	0.210000	0.209694	
3186	0.329253	496	0.046371	655	0.009160	663	0.018100	0.647324	3186	0.329253	0.218000	0.209696	
3183	0.344643	544	0.047794	650	0.020000	623	0.028892	0.647324	3183	0.344643	0.230800	0.209701	
2916	0.320645	520	0.044231	787	0.008895	777	0.028314	0.647324	2916	0.320645	0.197400	0.209698	
3096	0.320736	552	0.034420	639	0.021909	713	0.023843	0.647324	3096	0.320736	0.208600	0.209698	
3040	0.341447	539	0.027829	713	0.021038	708	0.026836	0.647324	3040	0.341447	0.217400	0.209700	
3174	0.338689	506	0.031621	660	0.007576	660	0.019697	0.647324	3174	0.338689	0.221800	0.209703	
2781	0.326861	428	0.053738	890	0.022472	901	0.026637	0.647324	2781	0.326861	0.195200	0.209699	
3106	0.348358	599	0.036728	652	0.032209	643	0.023328	0.647324	3106	0.348358	0.228000	0.209704	
3146	0.332804	558	0.034050	645	0.037209	651	0.018433	0.647324	3146	0.332804	0.220400	0.209706	
2999	0.328776	493	0.060852	771	0.011673	737	0.024423	0.647324	2999	0.328776	0.208600	0.209706	
3198	0.327392	536	0.026119	640	0.001563	626	0.028754	0.647324	3198	0.327392	0.216000	0.209708	
3045	0.330706	593	0.032040	713	0.009818	649	0.018490	0.647324	3045	0.330706	0.209000	0.209707	
3186	0.327997	520	0.044231	678	0.013274	616	0.029221	0.647324	3186	0.327997	0.219000	0.209710	
3143	0.319440	578	0.029412	654	0.025994	625	0.016000	0.647324	3143	0.319440	0.209600	0.209710	
3020	0.315894	523	0.049713	676	0.023669	781	0.038412	0.647324	3020	0.315894	0.205200	0.209709	
3136	0.346939	543	0.053407	654	0.018349	667	0.043478	0.647324	3136	0.346939	0.231600	0.209714	
2549	0.347587	409	0.041565	1092	0.051282	950	0.022105	0.647324	2549	0.347587	0.196000	0.209711	
3237	0.337967	533	0.041276	594	0.047138	636	0.029874	0.647324	3237	0.337967	0.232600	0.209716	
2893	0.314207	501	0.035928	838	0.010740	768	0.024740	0.647324	2893	0.314207	0.191000	0.209712	
3119	0.343379	563	0.030195	677	0.014771	641	0.023401	0.647324	3119	0.343379	0.222600	0.209715	
3153	0.337139	547	0.027422	626	0.012780	674	0.023739	0.647324	3153	0.337139	0.220400	0.209717	
3138	0.352772	507	0.063116	700	0.018571	655	0.025954	0.647324	3138	0.352772	0.233800	0.209723	
3193	0.323520	497	0.036217	682	0.023460	628	0.038217	0.647324	3193	0.323520	0.218200	0.209725	
2726	0.340426	488	0.061475	961	0.032258	825	0.032727	0.647324	2726	0.340426	0.203200	0.209723	
2468	0.310778	493	0.046653	1037	0.007715	1002	0.025948	0.647324	2468	0.310778	0.164800	0.209713	
3209	0.341539	571	0.031524	638	0.014107	582	0.013746	0.647324	3209	0.341539	0.226200	0.209717	
3190	0.338558	544	0.044118	661	0.024206	605	0.023140	0.647324	3190	0.338558	0.226800	0.209721	
2620	0.341221	484	0.049587	1052	0.016160	844	0.014218	0.647324	2620	0.341221	0.189400	0.209716	
3188	0.331242	533	0.039400	644	0.026398	635	0.006299	0.647324	3188	0.331242	0.219600	0.209718	
3115	0.336758	543	0.034991	648	0.013889	694	0.023055	0.647324	3115	0.336758	0.218600	0.209720	
3017	0.336095	565	0.035398	746	0.013405	672	0.011905	0.647324	3017	0.336095	0.210400	0.209721	
3169	0.342064	577	0.034662	604	0.026490	650	0.006154	0.647324	3169	0.342064	0.224800	0.209724	
2860	0.347203	485	0.043299	885	0.011299	770	0.020779	0.647324	2860	0.347203	0.208000	0.209724	
3076	0.342328	470	0.046809	774	0.014212	680	0.016176	0.647324	3076	0.342328	0.219400	0.209726	
3190	0.330408	495	0.040404	659	0.019727	656	0.007622	0.647324	3190	0.330408	0.218400	0.209728	
3063	0.352922	425	0.044706	721	0.008322	791	0.018963	0.647324	3063	0.352922	0.224200	0.209732	
3005	0.335774	414	0.055556	789	0.013942	792	0.015152	0.647324	3005	0.335774	0.211000	0.209732	
3125	0.346240	526	0.020913	644	0.010870	705	0.024113	0.647324	3125	0.346240	0.223400	0.209735	
3111	0.325297	567	0.038801	688	0.013081	634	0.018927	0.647324	3111	0.325297	0.211000	0.209735	
3168	0.337121	490	0.042857	670	0.007463	672	0.020833	0.647324	3168	0.337121	0.221600	0.209738	
2799	0.312254	493	0.030426	884	0.015837	824	0.023058	0.647324	2799	0.312254	0.184400	0.209732	
2611	0.331674	457	0.039387	978	0.005112	954	0.022013	0.647324	2611	0.331674	0.182000	0.209726	
3016	0.349469	456	0.052632	735	0.013605	793	0.017654	0.647324	3016	0.349469	0.220400	0.209728	
3094	0.328701	460	0.054348	804	0.013682	642	0.017134	0.647324	3094	0.328701	0.212800	0.209729	
3122	0.316464	528	0.030303	695	0.010072	655	0.042748	0.647324	3122	0.316464	0.207800	0.209728	
2893	0.321466	426	0.049296	853	0.017585	828	0.028986	0.647324	2893	0.321466	0.198000	0.209726	
2700	0.331852	424	0.044811	979	0.017365	897	0.022297	0.647324	2700	0.331852	0.190400	0.209721	
3123	0.335255	540	0.044444	672	0.025298	665	0.021053	0.647324	3123	0.335255	0.220400	0.209724	
3076	0.324122	546	0.047619	735	0.027211	643	0.023328	0.647324	3076	0.324122	0.211600	0.209724	
2942	0.332427	422	0.047393	861	0.017422	775	0.024516	0.647324	2942	0.332427	0.206400	0.209723	
2787	0.321851	528	0.032197	929	0.018299	756	0.017196	0.647324	2787	0.321851	0.188800	0.209718	
3146	0.326446	585	0.023932	637	0.017268	632	0.022152	0.647324	3146	0.326446	0.213200	0.209719	
2790	0.328674	504	0.039683	870	0.024138	836	0.014354	0.647324	2790	0.328674	0.194000	0.209715	
3080	0.323052	561	0.053476	696	0.025862	663	0.001508	0.647324	3080	0.323052	0.208800	0.209715	
3113	0.343077	564	0.028369	659	0.025797	664	0.013554	0.647324	3113	0.343077	0.222000	0.209718	
2963	0.347621	546	0.018315	755	0.013245	736	0.012228	0.647324	2963	0.347621	0.211800	0.209719	
3025	0.333554	564	0.015957	707	0.016973	704	0.024148	0.647324	3025	0.333554	0.209400	0.209718	
2798	0.330593	448	0.026786	900	0.018889	854	0.026932	0.647324	2798	0.330593	0.195400	0.209715	
3178	0.337319	462	0.045455	658	0.013678	702	0.027066	0.647324	3178	0.337319	0.224200	0.209718	
3182	0.336895	456	0.050439	670	0.031343	692	0.011561	0.647324	3182	0.336895	0.224800	0.209722	
3237	0.345382	466	0.042918	698	0.011461	599	0.021703	0.647324	3237	0.345382	0.231800	0.209727	
3211	0.312052	466	0.021459	695	0.030216	628	0.006369	0.647324	3211	0.312052	0.207400	0.209727	
3149	0.320419	419	0.057279	704	0.021307	728	0.008242	0.647324	3149	0.320419	0.210800	0.209727	
3207	0.324914	516	0.023256	668	0.037425	609	0.008210	0.647324	3207	0.324914	0.216800	0.209729	
2621	0.334987	481	0.051975	985	0.013198	913	0.019715	0.647324	2621	0.334987	0.186800	0.209723	
2943	0.328576	500	0.062000	808	0.014851	749	0.021362	0.647324	2943	0.328576	0.205200	0.209722	
3193	0.310053	448	0.071429	693	0.024531	666	0.010511	0.647324	3193	0.310053	0.209200	0.209722	
3013	0.325589	414	0.062802	833	0.038415	740	0.028378	0.647324	3013	0.325589	0.212000	0.209723	
3138	0.348948	529	0.049149	655	0.016794	678	0.019174	0.647324	3138	0.348948	0.229000	0.209727	
3172	0.324086	529	0.037807	631	0.015848	668	0.031437	0.647324	3172	0.324086	0.215800	0.209729	
3051	0.337922	551	0.021779	710	0.032394	688	0.027616	0.647324	3051	0.337922	0.217000	0.209730	
2633	0.341815	454	0.026432	945	0.025397	968	0.024793	0.647324	2633	0.341815	0.192000	0.209726	
3213	0.333645	442	0.058824	669	0.019432	676	0.031065	0.647324	3213	0.333645	0.226400	0.209730	
2937	0.323119	555	0.034234	783	0.014049	725	0.034483	0.647324	2937	0.323119	0.200800	0.209728	
3018	0.338966	518	0.030888	742	0.022911	722	0.002770	0.647324	3018	0.338966	0.211600	0.209728	
3228	0.315675	533	0.046904	656	0.024390	583	0.013722	0.647324	3228	0.315675	0.213600	0.209729	
3096	0.334625	552	0.039855	722	0.016620	630	0.019048	0.647324	3096	0.334625	0.216400	0.209731	
3140	0.333758	560	0.026786	667	0.025487	633	0.022117	0.647324	3140	0.333758	0.218800	0.209733	
3222	0.335196	518	0.032819	641	0.042122	619	0.022617	0.647324	3222	0.335196	0.227600	0.209737	
3241	0.342795	528	0.035985	648	0.021605	583	0.018868	0.647324	3241	0.342795	0.231000	0.209742	
2869	0.330429	502	0.037849	858	0.019814	771	0.022049	0.647324	2869	0.330429	0.200200	0.209740	
3166	0.334176	555	0.034234	659	0.037936	620	0.029032	0.647324	3166	0.334176	0.224000	0.209743	
3173	0.321777	535	0.028037	677	0.017725	615	0.039024	0.647324	3173	0.321777	0.214400	0.209744	
3083	0.337658	528	0.035985	694	0.025937	695	0.018705	0.647324	3083	0.337658	0.218200	0.209746	
2912	0.326580	518	0.034749	744	0.009409	826	0.010896	0.647324	2912	0.326580	0.197000	0.209743	
2906	0.331039	557	0.032316	749	0.036048	788	0.012690	0.647324	2906	0.331039	0.203400	0.209742	
3070	0.326384	477	0.016771	748	0.016043	705	0.022695	0.647324	3070	0.326384	0.207600	0.209741	
3158	0.347688	545	0.025688	639	0.034429	658	0.016717	0.647324	3158	0.347688	0.229000	0.209746	
3045	0.337274	482	0.047718	777	0.023166	696	0.020115	0.647324	3045	0.337274	0.216400	0.209748	
3005	0.325458	499	0.050100	763	0.015727	733	0.012278	0.647324	3005	0.325458	0.204800	0.209746	
2951	0.337513	517	0.029014	793	0.036570	739	0.037889	0.647324	2951	0.337513	0.213600	0.209747	
3208	0.323878	453	0.035320	621	0.012882	718	0.011142	0.647324	3208	0.323878	0.214200	0.209748	
3031	0.310789	566	0.031802	673	0.010401	730	0.010959	0.647324	3031	0.310789	0.195000	0.209745	
2870	0.319512	487	0.034908	810	0.018519	833	0.013205	0.647324	2870	0.319512	0.192000	0.209741	
